Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
Async-Stale,0.8047810979847116,0.5145627833276673,0.6084843530441421,0.5145627833276673,0.3963496811067138,0.9128495980143354,0.1003660521838334,0.7464278643047737,27.231527090072632,14.350479125976562,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
RawTrust,0.7916330785267547,0.666055162701942,0.778862524099639,0.666055162701942,0.6454340745706862,0.9588972872599012,0.0710428856729603,0.3822126417421939,27.79664969444275,14.350479125976562,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
AgriTrust-ACFL,0.8341348158443364,0.6410257270294101,0.8344644876925145,0.6410257270294101,0.6590505357697324,0.958190918466606,0.0956682736101136,0.3657717381018892,33.125534772872925,14.350479125976562,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
FedAvg,0.8133703961084087,0.5057746898224875,0.8915970981759033,0.5057746898224875,0.4545735538804821,0.9484377715256536,0.1071473983991882,0.5683942620182914,32.48582744598389,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
CoordMedian,0.6010840861709521,0.5883442197551931,0.6583421479579578,0.5883442197551931,0.4962628284864404,0.94939509257354,0.0805835937423623,0.4930933819266735,31.954745531082157,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
TrimmedMean,0.604141765114663,0.6480976561213789,0.7839491340080111,0.6480976561213789,0.593429952980019,0.9486888285206098,0.0801666751266831,0.5045473225127803,31.52263355255127,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
MultiKrum,0.6683252258512856,0.609871642784841,0.7107697723878847,0.609871642784841,0.5335604391797026,0.9444713827562352,0.0719384778201904,0.5461015962714681,32.406997203826904,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
Async-Stale,0.8333287004864489,0.592597763633726,0.82359954861277,0.592597763633726,0.602165598714668,0.95722613510368,0.0890119096205047,0.3741856925353131,27.03594326972961,14.350479125976562,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
RawTrust,0.7821820708825573,0.6495686063919085,0.7667164847136346,0.6495686063919085,0.6510013824000463,0.9571382899635288,0.0720745375408271,0.4019021382412087,26.09950399398804,14.350479125976562,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
AgriTrust-ACFL,0.8344961779013204,0.6373800316905643,0.8038161947411605,0.6373800316905643,0.6513955563814505,0.9572316899683864,0.0931534747582703,0.3573721540792403,33.236778259277344,14.350479125976562,22662,0.3,adaptive_slow_drift,"1,5,7",41,adaptive_slow_drift@0.3
